cluster_id,X,Y,人口密度,点数量,平均人口密度,推荐点名称,核心点类型
0,442191.6963592303,3262266.490433086,467.0754,13,475.88281538461536,菲林好玩(黄正街社区店),加权中心
1,443476.5987917984,3262520.705256913,191.67197,25,106.32837603999998,捷安特自行车(南滨西路店),加权中心
2,439233.7290223553,3264890.637378529,287.57074,29,251.74777862068967,盾安九龙都L楼,加权中心
3,439797.80038445885,3260673.98551214,41.782036,15,38.1810262,熙恩大药房(融汇江山E区店),加权中心
4,439238.5711853687,3260570.386182808,24.429535,46,22.826153021739128,谊品生鲜折扣店(融汇大道店),加权中心
5,441476.19330078096,3259861.5993545945,55.47036,42,34.93701130952381,庆丰花园,加权中心
6,441725.4755439931,3262769.619684053,124.16217,16,123.934197,民利药房,加权中心
7,442105.22064859,3262473.918667457,109.79897,48,98.24665052083333,禹云贵诊所,加权中心
8,441704.64803334296,3259787.729460998,63.197723,27,64.20304192592593,博雅商城,加权中心
9,442077.4434420244,3259667.471297586,52.587914,17,47.60197364705883,百年商场(李家沱正街店),加权中心
10,438796.233480848,3263481.771834068,141.59639,13,140.13581153846152,同一同济动物医院(杨家坪店),加权中心
11,440596.3368180182,3264299.535996592,137.72525,24,139.08149975,中仁拾二堂筋骨养护(珠江花园店),加权中心
12,440626.8445460432,3264460.598326716,159.1207,19,160.89321052631578,谊品生鲜24小时折扣店,加权中心
13,440902.657947687,3262604.0347787384,133.2479,15,132.77320200000003,重庆含康诊所管理连锁有限公司黄桷坪诊所,加权中心
14,439355.8189161109,3264344.257777876,66.16803,10,65.73585299999999,LAWSON罗森(杨家坪西郊路店),加权中心
15,440056.7709197879,3264522.896403813,59.68838,26,61.83392842307693,韩安俊诊所,加权中心
16,440616.2514305032,3262651.19078117,119.2097,12,115.544085,康之堂大药房,加权中心
17,440436.3883397416,3263341.574157807,65.22228,39,67.99410333333333,其林健康中心诊所,加权中心
18,440691.0933897615,3262928.4767823284,95.53049,21,93.75260161904762,保利心语花园,加权中心
19,439149.50807490473,3263580.3615919244,79.61806,17,77.10690294117647,新世纪超市(重庆九龙坡印象汇店),加权中心
20,439220.3721473354,3264031.072395565,103.09105,15,100.25606413333334,美好家园,加权中心
21,439271.7263226399,3264387.5925364103,89.15314,35,83.04862714285713,鲜丰水果(重庆杨家坪轻轨站店),加权中心
22,439463.4374454501,3264530.388309397,115.836426,35,106.80165091428572,中国移动(杨家坪步行街营业厅),加权中心
