Row,Col,X,Y,T_elevation
1,1,438474.709061058,3260466.2827981687,255
1,2,438504.709061058,3260466.2827981687,267
1,3,438534.709061058,3260466.2827981687,277
1,4,438564.709061058,3260466.2827981687,282
1,5,438594.709061058,3260466.2827981687,280
1,6,438624.709061058,3260466.2827981687,278
1,7,438654.709061058,3260466.2827981687,276
1,8,438684.709061058,3260466.2827981687,272
1,9,438714.709061058,3260466.2827981687,270
1,10,438744.709061058,3260466.2827981687,268
1,11,438774.709061058,3260466.2827981687,266
1,12,438804.709061058,3260466.2827981687,263
1,13,438834.709061058,3260466.2827981687,257
1,14,438864.709061058,3260466.2827981687,252
1,15,438894.709061058,3260466.2827981687,248
1,16,438924.709061058,3260466.2827981687,246
1,17,438954.709061058,3260466.2827981687,246
1,18,438984.709061058,3260466.2827981687,248
1,19,439014.709061058,3260466.2827981687,253
1,20,439044.709061058,3260466.2827981687,259
1,21,439074.709061058,3260466.2827981687,264
1,22,439104.709061058,3260466.2827981687,267
1,23,439134.709061058,3260466.2827981687,267
1,24,439164.709061058,3260466.2827981687,266
1,25,439194.709061058,3260466.2827981687,266
1,26,439224.709061058,3260466.2827981687,263
1,27,439254.709061058,3260466.2827981687,258
1,28,439284.709061058,3260466.2827981687,256
1,29,439314.709061058,3260466.2827981687,257
1,30,439344.709061058,3260466.2827981687,258
1,31,439374.709061058,3260466.2827981687,258
1,32,439404.709061058,3260466.2827981687,256
1,33,439434.709061058,3260466.2827981687,253
1,34,439464.709061058,3260466.2827981687,249
1,35,439494.709061058,3260466.2827981687,243
1,36,439524.709061058,3260466.2827981687,233
1,37,439554.709061058,3260466.2827981687,224
1,38,439584.709061058,3260466.2827981687,222
1,39,439614.709061058,3260466.2827981687,222
1,40,439644.709061058,3260466.2827981687,216
1,41,439674.709061058,3260466.2827981687,210
1,42,439704.709061058,3260466.2827981687,206
1,43,439734.709061058,3260466.2827981687,200
1,44,439764.709061058,3260466.2827981687,194
1,45,439794.709061058,3260466.2827981687,189
1,46,439824.709061058,3260466.2827981687,186
1,47,439854.709061058,3260466.2827981687,184
1,48,439884.709061058,3260466.2827981687,183
1,49,439914.709061058,3260466.2827981687,182
1,50,439944.709061058,3260466.2827981687,181
1,51,439974.709061058,3260466.2827981687,179
1,52,440004.709061058,3260466.2827981687,180
1,53,440034.709061058,3260466.2827981687,183
1,54,440064.709061058,3260466.2827981687,188
1,55,440094.709061058,3260466.2827981687,197
1,56,440124.709061058,3260466.2827981687,205
1,57,440154.709061058,3260466.2827981687,210
1,58,440184.709061058,3260466.2827981687,213
1,59,440214.709061058,3260466.2827981687,215
1,60,440244.709061058,3260466.2827981687,214
1,61,440274.709061058,3260466.2827981687,212
1,62,440304.709061058,3260466.2827981687,208
1,63,440334.709061058,3260466.2827981687,200
1,64,440364.709061058,3260466.2827981687,198
1,65,440394.709061058,3260466.2827981687,197
1,66,440424.709061058,3260466.2827981687,194
1,67,440454.709061058,3260466.2827981687,189
1,68,440484.709061058,3260466.2827981687,189
1,69,440514.709061058,3260466.2827981687,191
1,70,440544.709061058,3260466.2827981687,193
1,71,440574.709061058,3260466.2827981687,191
1,72,440604.709061058,3260466.2827981687,189
1,73,440634.709061058,3260466.2827981687,190
1,74,440664.709061058,3260466.2827981687,190
1,75,440694.709061058,3260466.2827981687,191
1,76,440724.709061058,3260466.2827981687,196
1,77,440754.709061058,3260466.2827981687,202
1,78,440784.709061058,3260466.2827981687,206
1,79,440814.709061058,3260466.2827981687,206
1,80,440844.709061058,3260466.2827981687,207
1,81,440874.709061058,3260466.2827981687,209
1,82,440904.709061058,3260466.2827981687,211
1,83,440934.709061058,3260466.2827981687,213
1,84,440964.709061058,3260466.2827981687,213
1,85,440994.709061058,3260466.2827981687,210
1,86,441024.709061058,3260466.2827981687,206
1,87,441054.709061058,3260466.2827981687,202
1,88,441084.709061058,3260466.2827981687,199
1,89,441114.709061058,3260466.2827981687,197
1,90,441144.709061058,3260466.2827981687,194
1,91,441174.709061058,3260466.2827981687,190
1,92,441204.709061058,3260466.2827981687,185
1,93,441234.709061058,3260466.2827981687,171
1,94,441264.709061058,3260466.2827981687,164
1,95,441294.709061058,3260466.2827981687,161
1,96,441324.709061058,3260466.2827981687,157
1,97,441354.709061058,3260466.2827981687,156
1,98,441384.709061058,3260466.2827981687,156
1,99,441414.709061058,3260466.2827981687,157
1,100,441444.709061058,3260466.2827981687,165
1,101,441474.709061058,3260466.2827981687,174
1,102,441504.709061058,3260466.2827981687,179
1,103,441534.709061058,3260466.2827981687,184
1,104,441564.709061058,3260466.2827981687,194
1,105,441594.709061058,3260466.2827981687,204
1,106,441624.709061058,3260466.2827981687,209
1,107,441654.709061058,3260466.2827981687,210
1,108,441684.709061058,3260466.2827981687,210
1,109,441714.709061058,3260466.2827981687,207
1,110,441744.709061058,3260466.2827981687,202
1,111,441774.709061058,3260466.2827981687,194
1,112,441804.709061058,3260466.2827981687,187
1,113,441834.709061058,3260466.2827981687,184
1,114,441864.709061058,3260466.2827981687,180
1,115,441894.709061058,3260466.2827981687,177
1,116,441924.709061058,3260466.2827981687,176
1,117,441954.709061058,3260466.2827981687,179
1,118,441984.709061058,3260466.2827981687,184
1,119,442014.709061058,3260466.2827981687,189
1,120,442044.709061058,3260466.2827981687,196
1,121,442074.709061058,3260466.2827981687,203
1,122,442104.709061058,3260466.2827981687,206
1,123,442134.709061058,3260466.2827981687,207
1,124,442164.709061058,3260466.2827981687,209
1,125,442194.709061058,3260466.2827981687,213
1,126,442224.709061058,3260466.2827981687,218
1,127,442254.709061058,3260466.2827981687,223
1,128,442284.709061058,3260466.2827981687,228
2,1,438474.709061058,3260436.2827981687,255
2,2,438504.709061058,3260436.2827981687,266
2,3,438534.709061058,3260436.2827981687,277
2,4,438564.709061058,3260436.2827981687,282
2,5,438594.709061058,3260436.2827981687,283
2,6,438624.709061058,3260436.2827981687,282
2,7,438654.709061058,3260436.2827981687,278
2,8,438684.709061058,3260436.2827981687,274
2,9,438714.709061058,3260436.2827981687,272
2,10,438744.709061058,3260436.2827981687,271
2,11,438774.709061058,3260436.2827981687,271
2,12,438804.709061058,3260436.2827981687,266
2,13,438834.709061058,3260436.2827981687,259
2,14,438864.709061058,3260436.2827981687,252
2,15,438894.709061058,3260436.2827981687,247
2,16,438924.709061058,3260436.2827981687,245
2,17,438954.709061058,3260436.2827981687,247
2,18,438984.709061058,3260436.2827981687,249
2,19,439014.709061058,3260436.2827981687,252
2,20,439044.709061058,3260436.2827981687,258
2,21,439074.709061058,3260436.2827981687,262
2,22,439104.709061058,3260436.2827981687,264
2,23,439134.709061058,3260436.2827981687,265
2,24,439164.709061058,3260436.2827981687,266
2,25,439194.709061058,3260436.2827981687,266
2,26,439224.709061058,3260436.2827981687,264
2,27,439254.709061058,3260436.2827981687,262
2,28,439284.709061058,3260436.2827981687,261
2,29,439314.709061058,3260436.2827981687,262
2,30,439344.709061058,3260436.2827981687,261
2,31,439374.709061058,3260436.2827981687,260
2,32,439404.709061058,3260436.2827981687,256
2,33,439434.709061058,3260436.2827981687,252
2,34,439464.709061058,3260436.2827981687,247
2,35,439494.709061058,3260436.2827981687,241
2,36,439524.709061058,3260436.2827981687,231
2,37,439554.709061058,3260436.2827981687,223
2,38,439584.709061058,3260436.2827981687,222
2,39,439614.709061058,3260436.2827981687,222
2,40,439644.709061058,3260436.2827981687,218
2,41,439674.709061058,3260436.2827981687,213
2,42,439704.709061058,3260436.2827981687,207
2,43,439734.709061058,3260436.2827981687,202
2,44,439764.709061058,3260436.2827981687,196
2,45,439794.709061058,3260436.2827981687,191
2,46,439824.709061058,3260436.2827981687,188
2,47,439854.709061058,3260436.2827981687,187
2,48,439884.709061058,3260436.2827981687,187
2,49,439914.709061058,3260436.2827981687,187
2,50,439944.709061058,3260436.2827981687,184
2,51,439974.709061058,3260436.2827981687,181
2,52,440004.709061058,3260436.2827981687,180
2,53,440034.709061058,3260436.2827981687,181
2,54,440064.709061058,3260436.2827981687,185
2,55,440094.709061058,3260436.2827981687,193
2,56,440124.709061058,3260436.2827981687,204
2,57,440154.709061058,3260436.2827981687,211
2,58,440184.709061058,3260436.2827981687,214
2,59,440214.709061058,3260436.2827981687,216
2,60,440244.709061058,3260436.2827981687,215
2,61,440274.709061058,3260436.2827981687,214
2,62,440304.709061058,3260436.2827981687,211
2,63,440334.709061058,3260436.2827981687,207
2,64,440364.709061058,3260436.2827981687,207
2,65,440394.709061058,3260436.2827981687,207
2,66,440424.709061058,3260436.2827981687,203
2,67,440454.709061058,3260436.2827981687,198
2,68,440484.709061058,3260436.2827981687,198
2,69,440514.709061058,3260436.2827981687,200
2,70,440544.709061058,3260436.2827981687,199
2,71,440574.709061058,3260436.2827981687,195
2,72,440604.709061058,3260436.2827981687,192
2,73,440634.709061058,3260436.2827981687,192
2,74,440664.709061058,3260436.2827981687,194
2,75,440694.709061058,3260436.2827981687,196
2,76,440724.709061058,3260436.2827981687,200
2,77,440754.709061058,3260436.2827981687,204
2,78,440784.709061058,3260436.2827981687,207
2,79,440814.709061058,3260436.2827981687,208
2,80,440844.709061058,3260436.2827981687,209
2,81,440874.709061058,3260436.2827981687,211
2,82,440904.709061058,3260436.2827981687,212
2,83,440934.709061058,3260436.2827981687,213
2,84,440964.709061058,3260436.2827981687,211
2,85,440994.709061058,3260436.2827981687,208
2,86,441024.709061058,3260436.2827981687,205
2,87,441054.709061058,3260436.2827981687,204
2,88,441084.709061058,3260436.2827981687,203
2,89,441114.709061058,3260436.2827981687,202
2,90,441144.709061058,3260436.2827981687,201
2,91,441174.709061058,3260436.2827981687,198
2,92,441204.709061058,3260436.2827981687,194
2,93,441234.709061058,3260436.2827981687,188
2,94,441264.709061058,3260436.2827981687,184
2,95,441294.709061058,3260436.2827981687,176
2,96,441324.709061058,3260436.2827981687,165
2,97,441354.709061058,3260436.2827981687,163
2,98,441384.709061058,3260436.2827981687,160
2,99,441414.709061058,3260436.2827981687,161
2,100,441444.709061058,3260436.2827981687,171
2,101,441474.709061058,3260436.2827981687,177
2,102,441504.709061058,3260436.2827981687,179
2,103,441534.709061058,3260436.2827981687,185
2,104,441564.709061058,3260436.2827981687,196
2,105,441594.709061058,3260436.2827981687,206
2,106,441624.709061058,3260436.2827981687,210
2,107,441654.709061058,3260436.2827981687,210
2,108,441684.709061058,3260436.2827981687,210
2,109,441714.709061058,3260436.2827981687,207
2,110,441744.709061058,3260436.2827981687,202
2,111,441774.709061058,3260436.2827981687,195
2,112,441804.709061058,3260436.2827981687,192
2,113,441834.709061058,3260436.2827981687,190
2,114,441864.709061058,3260436.2827981687,188
2,115,441894.709061058,3260436.2827981687,186
2,116,441924.709061058,3260436.2827981687,187
2,117,441954.709061058,3260436.2827981687,191
2,118,441984.709061058,3260436.2827981687,192
2,119,442014.709061058,3260436.2827981687,194
2,120,442044.709061058,3260436.2827981687,201
2,121,442074.709061058,3260436.2827981687,206
2,122,442104.709061058,3260436.2827981687,208
2,123,442134.709061058,3260436.2827981687,209
2,124,442164.709061058,3260436.2827981687,212
2,125,442194.709061058,3260436.2827981687,215
2,126,442224.709061058,3260436.2827981687,219
2,127,442254.709061058,3260436.2827981687,223
2,128,442284.709061058,3260436.2827981687,228
3,1,438474.709061058,3260406.2827981687,258
3,2,438504.709061058,3260406.2827981687,268
3,3,438534.709061058,3260406.2827981687,276
3,4,438564.709061058,3260406.2827981687,280
3,5,438594.709061058,3260406.2827981687,282
3,6,438624.709061058,3260406.2827981687,283
3,7,438654.709061058,3260406.2827981687,280
3,8,438684.709061058,3260406.2827981687,275
3,9,438714.709061058,3260406.2827981687,272
3,10,438744.709061058,3260406.2827981687,271
3,11,438774.709061058,3260406.2827981687,272
3,12,438804.709061058,3260406.2827981687,268
3,13,438834.709061058,3260406.2827981687,260
3,14,438864.709061058,3260406.2827981687,251
3,15,438894.709061058,3260406.2827981687,246
3,16,438924.709061058,3260406.2827981687,245
3,17,438954.709061058,3260406.2827981687,248
3,18,438984.709061058,3260406.2827981687,250
3,19,439014.709061058,3260406.2827981687,252
3,20,439044.709061058,3260406.2827981687,258
3,21,439074.709061058,3260406.2827981687,262
3,22,439104.709061058,3260406.2827981687,264
3,23,439134.709061058,3260406.2827981687,265
3,24,439164.709061058,3260406.2827981687,266
3,25,439194.709061058,3260406.2827981687,267
3,26,439224.709061058,3260406.2827981687,266
3,27,439254.709061058,3260406.2827981687,265
3,28,439284.709061058,3260406.2827981687,265
3,29,439314.709061058,3260406.2827981687,263
3,30,439344.709061058,3260406.2827981687,260
3,31,439374.709061058,3260406.2827981687,257
3,32,439404.709061058,3260406.2827981687,252
3,33,439434.709061058,3260406.2827981687,248
3,34,439464.709061058,3260406.2827981687,245
3,35,439494.709061058,3260406.2827981687,240
3,36,439524.709061058,3260406.2827981687,233
3,37,439554.709061058,3260406.2827981687,227
3,38,439584.709061058,3260406.2827981687,226
3,39,439614.709061058,3260406.2827981687,223
3,40,439644.709061058,3260406.2827981687,218
3,41,439674.709061058,3260406.2827981687,212
3,42,439704.709061058,3260406.2827981687,205
3,43,439734.709061058,3260406.2827981687,200
3,44,439764.709061058,3260406.2827981687,196
3,45,439794.709061058,3260406.2827981687,193
3,46,439824.709061058,3260406.2827981687,190
3,47,439854.709061058,3260406.2827981687,191
3,48,439884.709061058,3260406.2827981687,192
3,49,439914.709061058,3260406.2827981687,192
3,50,439944.709061058,3260406.2827981687,188
3,51,439974.709061058,3260406.2827981687,183
