geometry,Area_m2,Radius_m,Center_X,Center_Y,Area_mu,Entity,Layer,LyrFrzn,LyrOn,Color,Linetype,Elevation,LineWt,RefName,DocUpdate
"POLYGON Z ((439715.202626503 3256641.283 3, 439698.5866347159 3256641.283 3, 439698.61060000106 3256642.1789 3, 439715.2109000003 3256641.5222 3, 439715.202626503 3256641.283 3))",9.43,1.73,439705.3,3256641.6,0.01,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((438962.1302999993 3256650.7802000004 3, 438958.38990000036 3256644.9664999982 3, 438943.02529999916 3256654.5025999993 3, 438946.76629999955 3256660.4274999998 3, 438962.1302999993 3256650.7802000004 3))",126.06,6.33,438952.56,3256652.68,0.19,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((439566.1660999998 3256657.7943999995 3, 439559.84459999943 3256644.843499999 3, 439550.2038 3256649.7882000008 3, 439556.4276999992 3256662.7412 3, 439566.1660999998 3256657.7943999995 3))",156.52,7.06,439558.17,3256653.8,0.23,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((439620.06389999937 3256655.771299999 3, 439610.8674000007 3256652.846000001 3, 439607.7932000002 3256662.0982 3, 439617.08730000025 3256665.021800001 3, 439620.06389999937 3256655.771299999 3))",94.38,5.48,439613.95,3256658.94,0.14,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441603.62810000096 3256652.6459999997 3, 441595.7185000002 3256651.4602 3, 441594.86720000126 3256656.4601000017 3, 441602.77859999985 3256657.9780999995 3, 441603.62810000096 3256652.6459999997 3))",42.02,3.66,441599.29,3256654.65,0.06,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441604.00679999916 3256668.7 3, 441603.27280000097 3256659.1876000003 3, 441598.2014999998 3256659.6118 3, 441599.13050000084 3256669.120700001 3, 441604.00679999916 3256668.7 3))",47.66,3.89,441601.15,3256664.12,0.07,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441593.37849999993 3256670.0004999996 3, 441587.2530999999 3256655.8233000003 3, 441547.63199999934 3256673.0527 3, 441553.7586000001 3256687.3394000004 3, 441593.37849999993 3256670.0004999996 3))",669.76,14.6,441570.48,3256671.56,1.0,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441729.69500000007 3256711.217399999 3, 441726.5030999995 3256698.0920000006 3, 441720.1701999996 3256699.5314000007 3, 441723.4603000008 3256712.765900001 3, 441729.69500000007 3256711.217399999 3))",87.66,5.28,441724.95,3256705.39,0.13,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441526.0735999991 3256782.9985000016 3, 441518.94350000005 3256781.8014999996 3, 441518.18510000035 3256785.9140000003 3, 441525.4139000004 3256787.3304999988 3, 441526.0735999991 3256782.9985000016 3))",31.24,3.15,441522.18,3256784.52,0.05,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441536.6238999999 3256785.1293000006 3, 441532.6187000008 3256784.3172999993 3, 441531.7639000006 3256788.6528999987 3, 441535.76790000114 3256789.2435000003 3, 441536.6238999999 3256785.1293000006 3))",17.52,2.36,441534.18,3256786.83,0.03,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441550.0687999996 3256781.2260999996 3, 441538.34720000025 3256779.0053000012 3, 441535.9761999999 3256791.676500001 3, 441547.69790000026 3256793.8970999997 3, 441550.0687999996 3256781.2260999996 3))",153.79,7.0,441543.02,3256786.45,0.23,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441702.8155000003 3256791.8813000005 3, 441701.6176000008 3256786.8071 3, 441690.4143999998 3256789.6625999985 3, 441691.8069000003 3256794.6226000004 3, 441702.8155000003 3256791.8813000005 3))",59.34,4.35,441696.67,3256790.73,0.09,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441693.83509999985 3256808.8757000016 3, 441689.5496999994 3256792.114700001 3, 441685.4581999997 3256793.1837999998 3, 441689.7443000004 3256810.055400001 3, 441693.83509999985 3256808.8757000016 3))",73.62,4.84,441689.65,3256801.07,0.11,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441628.15220000147 3256822.1181 3, 441627.0545000001 3256817.596399999 3, 441614.68160000077 3256820.9209000007 3, 441615.77940000093 3256825.4425000004 3, 441628.15220000147 3256822.1181 3))",59.6,4.36,441621.42,3256821.52,0.09,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441762.38640000013 3256822.5258000004 3, 441757.2322000009 3256807.3287000014 3, 441748.3715999992 3256810.2506000013 3, 441753.5272000011 3256825.6689999993 3, 441762.38640000013 3256822.5258000004 3))",151.26,6.94,441755.37,3256816.46,0.23,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440677.0544000002 3256843.9664999987 3, 440675.626799999 3256833.0306 3, 440669.08799999964 3256834.0550999995 3, 440670.6133000009 3256844.989 3, 440677.0544000002 3256843.9664999987 3))",72.48,4.8,440673.09,3256839.0,0.11,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441774.2882000003 3256840.9305000002 3, 441772.1066000007 3256834.321799998 3, 441764.80269999977 3256836.4408999993 3, 441767.08120000036 3256842.9371000016 3, 441774.2882000003 3256840.9305000002 3))",52.14,4.07,441769.57,3256838.65,0.08,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441659.4801000012 3256842.0494999993 3, 441645.30840000114 3256819.3735999996 3, 441639.86349999893 3256822.7940999996 3, 441654.2303999993 3256845.466 3, 441659.4801000012 3256842.0494999993 3))",170.02,7.36,441649.69,3256832.37,0.26,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((438543.54640000063 3256855.5961000007 3, 438533.8337999997 3256845.076899999 3, 438493.5853000001 3256882.6462 3, 438503.296 3256892.947499999 3, 438543.54640000063 3256855.5961000007 3))",782.81,15.79,438518.6,3256869.03,1.17,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441783.7375999991 3256874.7744999984 3, 441775.3025000009 3256848.112899999 3, 441769.264700001 3256849.8778 3, 441777.4078999999 3256876.6549 3, 441783.7375999991 3256874.7744999984 3))",180.33,7.58,441776.46,3256862.46,0.27,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442198.9909000003 3256899.4047999987 3, 442196.60809999885 3256891.2416999983 3, 442186.4899000002 3256894.2649999997 3, 442188.67789999873 3256902.4306 3, 442198.9909000003 3256899.4047999987 3))",90.32,5.36,442192.7,3256896.85,0.14,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442161.21609999944 3256906.0357000004 3, 442159.4285999994 3256899.8586 3, 442153.68749999965 3256901.4921999993 3, 442155.3783000007 3256907.7815000014 3, 442161.21609999944 3256906.0357000004 3))",39.03,3.52,442157.42,3256903.8,0.06,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441869.2676999993 3256910.5568 3, 441865.0970999992 3256896.7797 3, 441854.7765000001 3256899.830600001 3, 441859.2416000009 3256913.934800002 3, 441869.2676999993 3256910.5568 3))",155.7,7.04,441862.07,3256905.26,0.23,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442159.99850000057 3256915.1360999993 3, 442158.9032000007 3256910.8320000004 3, 442155.78970000026 3256911.7631 3, 442156.88489999913 3256916.067199999 3, 442159.99850000057 3256915.1360999993 3))",14.42,2.14,442157.89,3256913.45,0.02,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((438840.42720000085 3256922.7265000017 3, 438830.9408999991 3256918.6521 3, 438825.35470000096 3256931.3586000004 3, 438834.84159999975 3256935.544 3, 438840.42720000085 3256922.7265000017 3))",144.14,6.77,438832.89,3256927.08,0.22,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442248.1770203856 3256897.3602084885 3, 442247.7931999994 3256896.620600001 3, 442236.41629999963 3256900.875600001 3, 442241.9549000001 3256916.0848999987 3, 442223.4873999989 3256924.5374000003 3, 442228.0220999994 3256934.2218 3, 442259.60809999966 3256919.387499999 3, 442253.0479922328 3256906.746401256 3, 442248.1770203856 3256897.3602084885 3))",571.43,13.49,442242.8,3256916.36,0.86,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((438788.33239999914 3256956.9094 3, 438784.7068000005 3256936.9107999997 3, 438752.35469999997 3256942.7805999997 3, 438749.4430000007 3256928.1987999994 3, 438728.4926999996 3256931.9140000003 3, 438734.93370000017 3256966.719299999 3, 438788.33239999914 3256956.9094 3))",1426.26,21.31,438755.43,3256948.57,2.14,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440469.2267000014 3256957.1509000002 3, 440459.1454999999 3256918.4842999997 3, 440449.48859999905 3256921.0154 3, 440459.3738999999 3256959.5754000014 3, 440469.2267000014 3256957.1509000002 3))",401.4,11.3,440459.33,3256939.11,0.6,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((439733.6456000014 3256987.9750999985 3, 439736.40160000004 3256974.4069999997 3, 439747.6460999986 3256976.622700001 3, 439746.9836999999 3256980.401900002 3, 439756.7614999993 3256982.3137000008 3, 439758.4683000009 3256973.1967999986 3, 439731.97140000015 3256968.1801 3, 439727.71030000015 3256991.968699998 3, 439754.1086999996 3256996.877100001 3, 439754.96020000044 3256991.9863000014 3, 439733.6456000014 3256987.9750999985 3))",389.99,11.14,439742.01,3256981.71,0.58,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
