Area_m2,Radius_m,Center_X,Center_Y,Elevation
933.53,17.24,441358.4,3262703,3
461.24,12.12,441348.08,3262724.96,3
87.94,5.29,441529.68,3262854.53,3
441.35,11.85,440180.25,3265124.78,3
441.92,11.86,440160.34,3265155.2,3
165.29,7.25,440117.45,3265163.47,3
58,4.3,438010.12,3259169,3
7.52,1.55,438617.69,3259168.45,3
54.25,4.16,438290.31,3259169.4,3
111.35,5.95,438049.41,3259183.28,3
60.73,4.4,438011.42,3259186.63,3
30.44,3.11,442107.41,3259169.16,3
6.21,1.41,443217.55,3259168.14,3
51.4,4.04,443167.4,3259169.15,3
291.35,9.63,440296.42,3259181.41,3
102.92,5.72,438018.13,3259192.45,3
24.64,2.8,443451.79,3259169.52,3
265.15,9.19,439313.29,3259185.85,3
121.41,6.22,443554.99,3259170.41,3
106.22,5.81,443601.77,3259171.5,3
117.57,6.12,443106.93,3259173.13,3
117.3,6.11,443659.53,3259174.17,3
45.51,3.81,443789.43,3259181.21,3
232.29,8.6,443317.84,3259177.32,3
165.74,7.26,443336,3259180.76,3
102.1,5.7,438050.8,3259211.37,3
95.46,5.51,438061.07,3259213.88,3
355.2,10.63,440186.57,3259199.84,3
97.2,5.56,443356.43,3259194.67,3
54.9,4.18,443120.07,3259195.93,3
185.1,7.68,443478.6,3259188.76,3
231.28,8.58,442839.11,3259199.75,3
170.86,7.37,443683.41,3259199.47,3
130.21,6.44,441454.97,3259215.65,3
54.71,4.17,443169,3259218.05,3
47.23,3.88,443648.61,3259227.48,3
147.75,6.86,443564.75,3259222.59,3
71.74,4.78,440323.96,3259244.62,3
2163.53,26.24,439544.29,3259213.96,3
66.78,4.61,443586.15,3259236.23,3
98.24,5.59,443341.73,3259240.66,3
105.84,5.8,440879.88,3259254.07,3
234.76,8.64,443801.13,3259238.53,3
104.89,5.78,442964.56,3259250.53,3
131.2,6.46,440712.53,3259259.26,3
376.48,10.95,443269.67,3259236.54,3
96,5.53,442625.34,3259250.29,3
149.14,6.89,442119.58,3259255.5,3
54.45,4.16,442632.31,3259260.79,3
94.14,5.47,443508.99,3259253.98,3
73.65,4.84,443781.03,3259258.59,3
123.1,6.26,443814.08,3259256.15,3
126.31,6.34,442618.26,3259267.48,3
37.71,3.46,441695.29,3259281.03,3
87.83,5.29,443627.4,3259268.57,3
358.77,10.69,440040.11,3259296.7,3
719.03,15.13,438761.06,3259311.45,3
83.19,5.15,441697.82,3259299.19,3
61.61,4.43,440811.56,3259309.6,3
298.79,9.75,440059.73,3259313.19,3
101.98,5.7,443614.79,3259304.96,3
