id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,Center_X,Center_Y,类型代码,类型名称,省份,城市,区域,营业时间,评分,人口密度
B00178TWN0,广厦城巢上二期,广厦城6号,[],106.530344,29.49054,,,440899.73414808704,3262490.0308550424,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],115.60008
B0017875C0,广厦城巢上,广厦城6号巢上,[],106.530604,29.490837,,,440925.1106970435,3262522.80728943,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],115.60008
B0MG1AS04O,重庆电力高等专科学校电力四村,复线隧道东北侧,[],106.534075,29.486025,,,441258.8103697418,3261987.8676141226,120302|120303,商务住宅;住宅区;住宅小区|商务住宅;住宅区;宿舍,重庆市,重庆市,九龙坡区,,[],131.9992
B0KR7XJHPY,电校住宅,龙广路重庆电力高等专科学校,[],106.534951,29.486325,,,441343.9057682544,3262020.6666639694,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],117.10607
B0IAZST6DB,广厦城一期6号院,龙广路与邮电路交叉口北100米,[],106.531449,29.491794,,,441007.5786920379,3262628.4169654152,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],131.0331
B0I3XS6XOE,广厦城一期6号院西区,龙广路与邮电路交叉口西北100米,[],106.530991,29.4916,,,440963.06852872105,3262607.153466174,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],131.51553
B0I3XS90P0,广厦城一期6号院东区,邮电路与龙广路交叉口东北120米,[],106.532511,29.491725,,,441110.487093888,3262620.233706572,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],136.04478
B00178VNDN,金源利·青国青城,锦龙路289号,[],106.526077,29.489929,,,440485.7367077725,3262424.5047291727,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],67.44817
B001793275,如意物业B区,北桥头立交与红光大道交叉口东北420米,[],106.536132,29.485956,,,441458.1837108405,3261979.185911368,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],99.021866
B00178TWN1,广厦城一期,黄桷坪街道广厦城4号,023-86100990,106.532239,29.492957,,,441084.83281577897,3262756.880461771,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],101.82989
