id,名称,地址,电话,经度,纬度,类型代码,类型名称,省份,城市,区域,营业时间,评分
B00178TWN0,广厦城巢上二期,广厦城6号,[],106.530344,29.490540,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0017875C0,广厦城巢上,广厦城6号巢上,[],106.530604,29.490837,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0MG1AS04O,重庆电力高等专科学校电力四村,复线隧道东北侧,[],106.534075,29.486025,120302|120303,商务住宅;住宅区;住宅小区|商务住宅;住宅区;宿舍,重庆市,重庆市,九龙坡区,,[]
B0KR7XJHPY,电校住宅,龙广路重庆电力高等专科学校,[],106.534951,29.486325,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IAZST6DB,广厦城一期6号院,龙广路与邮电路交叉口北100米,[],106.531449,29.491794,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0I3XS6XOE,广厦城一期6号院西区,龙广路与邮电路交叉口西北100米,[],106.530991,29.491600,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0I3XS90P0,广厦城一期6号院东区,邮电路与龙广路交叉口东北120米,[],106.532511,29.491725,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178VNDN,金源利·青国青城,锦龙路289号,[],106.526077,29.489929,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B001793275,如意物业B区,北桥头立交与红光大道交叉口东北420米,[],106.536132,29.485956,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWN1,广厦城一期,黄桷坪街道广厦城4号,[],106.532239,29.492957,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IAZSSL5B,广厦城一期2号院,龙江路与余堡路交叉口东北240米,[],106.531484,29.493135,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TXYG,九龙花园,九龙村26号,[],106.526522,29.491612,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IAZSRD6S,广厦城一期3号院,邮电路与龙广路交叉口东北280米,[],106.533603,29.492869,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFHD3DZC,观江美郡,高进路与余堡路交叉口东北80米,[],106.528443,29.492722,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGNPFY7,九龙花园二小区,九龙村26号,[],106.526450,29.491544,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
