cluster_id,X,Y,人口密度,点数量,平均人口密度,推荐点名称,核心点类型
0,437058.2805,3262704.68,250.17015,33,230.34362454545453,东郊诊所,加权中心
1,437449.8184,3264204.231,186.00024,22,188.11156818181814,保利时代广场B座,加权中心
2,441567.8578,3262572.776,128.33109,23,82.05348982608696,重庆市征兵大楼,加权中心
3,438058.4395,3259908.576,72.62672,13,65.21638984615385,熙恩大药房(融汇江山E区店),加权中心
4,437297.3519,3259923.794,75.57144,19,73.09167578947368,融汇半岛江上公馆,加权中心
5,437610.5658,3259616.798,61.476715,12,61.476715000000006,齐恩超市(爱窝店),加权中心
6,439888.9599,3261828.027,119.094444,14,116.21587185714284,重庆市第十三人民医院-行政办公楼,加权中心
7,437667.4338,3263495.243,93.69287,14,92.39283571428571,冯氏开锁换锁疏通管道(都市桃源店),加权中心
8,440356.0928,3261718.453,152.62666,33,148.74343,无忧大药房,加权中心
9,440459.43,3261507.256,167.963,17,168.01802647058824,菲林好玩(黄正街社区店),加权中心
10,439142.5918,3259107.564,39.34654,10,35.8858294,鸿源建材·五金店,加权中心
11,437567.6712,3263204.133,69.87402,45,60.30133542222223,金汇园,加权中心
12,440338.6878,3258946.209,39.586388,19,36.687386315789475,巴南衣聚汇服装批发城(百年商场店),加权中心
13,439771.1267,3259045.185,19.675335,18,19.934515,义乌小商品超市(典雅苑店),加权中心
14,440010.5549,3259029.39,30.393566,23,29.298494260869564,中国移动(强胜指定专营店),加权中心
15,438815.1239,3263662.319,146.71242,53,129.25411064150944,真善美药房(九龙坡区直港大道店),加权中心
16,438317.7535,3263757.19,96.59207,14,96.27316228571428,韩安俊诊所,加权中心
17,437774.1048,3263973.432,118.17424,10,117.74901,银都大厦,加权中心
18,437651.3773,3263641.389,116.69575,27,115.87388037037039,京东MALL(重庆杨家坪店),加权中心
19,438745.8024,3262533.48,45.243484,66,42.606772166666666,优客家便利店(天祥苑店),加权中心
20,438879.2983,3261887.682,73.72898,16,71.3581025,康之堂大药房,加权中心
21,439220.3616,3261837.125,77.26285,19,75.4673505263158,高克金诊所,加权中心
