id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,投影X,投影Y,类型代码,类型名称,省份,城市,区域,营业时间,评分
B0FFFG0620,中交那里,杨渡路639号,[],106.503543,29.493588,106.485589,29.4865451,436558.7101,3262070.944,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,大渡口区,,[]
B00170ANMM,中国十八冶综合办公楼,冶金路与石坪桥横街交叉口东北200米,[],106.504383,29.509961,106.4864268,29.502916,436650.1213,3263884.439,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0IDRCRQ1R,蜜果便利店,杨渡村5号附8号,18883908435,106.504716,29.494507,106.4867657,29.48746734,436673.3585,3262172.49,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,九龙坡区,,4
B00178X3ZY,九龙大厦(锦龙路),西郊路98号(动物园地铁站1号口步行460米),[],106.505114,29.498483,106.4871638,29.49144343,436714.4261,3262612.838,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0LDZ5MH4U,九龙大厦2栋,西郊路98号九龙大厦(锦龙路),[],106.505161,29.498437,106.487211,29.49139758,436718.9706,3262607.732,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFK8TNK7,中建龙玺台,九龙街道杨渡村5号,[],106.505284,29.493611,106.4873359,29.48657326,436728.0806,3262073.114,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGKB5J2,上游三村,杨渡路与武装部支路交叉口东80米,[],106.505342,29.497632,106.4873928,29.49059334,436736.1005,3262518.521,60000,购物服务;购物相关场所;购物相关场所,重庆市,重庆市,九龙坡区,,[]
B0I0NS9FPF,龙玺超市(中建龙玺台店),杨渡村中建龙玺台5号附15号,15213408845,106.505428,29.493149,106.4874805,29.48611182,436741.815,3262021.906,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,大渡口区,,4.2
B0FFGKB4AL,杨渡一村,武装部支路与杨渡路交叉口东南160米,[],106.505673,29.496564,106.4877253,29.48952661,436767.666,3262400.143,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178VTC9,重庆市九龙坡区社会主义学院,冶金二村特1号,[],106.505748,29.511907,106.4877958,29.50486548,436784.0316,3264099.704,141201,科教文化服务;学校;高等院校,重庆市,重庆市,九龙坡区,,[]
B00170I3SR,心巢御园,西郊路59号(动物园地铁站2号口步行460米),[],106.506518,29.497611,106.4885728,29.49057583,436850.479,3262515.94,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0H2VUV9EH,重庆金保林大药房有限公司,杨家坪街道西郊路59号附21号,18983457246,106.506661,29.497846,106.4887163,29.49081119,436864.5274,3262541.94,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,九龙坡区,,[]
B0HGFA61X3,卓越中寰,杨家坪商圈动物园旁(动物园地铁站1号口步行280米),[],106.506839,29.499769,106.4888943,29.49273418,436882.9762,3262754.918,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0IGJZM2EX,重庆都成万禾汽车服务有限公司,西郊路37号(动物园地铁站2号口步行340米),023-68784499,106.507244,29.498341,106.4893011,29.49130778,436921.528,3262596.647,033100|010000|020000|060000,汽车维修;长安汽车维修;长安汽车维修|汽车服务;汽车服务相关;汽车服务相关|汽车销售;汽车销售;汽车销售|购物服务;购物相关场所;购物相关场所,重庆市,重庆市,九龙坡区,,4.4
B0FFFZKREZ,爱客超市(心巢御园店),西郊路59号附1号,[],106.50755,29.497434,106.4896084,29.49040193,436950.758,3262496.11,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,九龙坡区,,4.2
B0FFG8W3CZ,杨渡村,西郊路59附1附近,[],106.507688,29.497373,106.4897469,29.49034136,436964.1454,3262489.323,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178TWY7,锦龙苑,杨家坪西郊路30号(动物园地铁站1号口步行300米),[],106.507972,29.500039,106.490031,29.49300746,436993.3403,3262784.581,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFF00A7X,西城映画,西郊路40号(动物园地铁站2号口步行200米),[],106.507997,29.498816,106.4900565,29.49178487,436995.0517,3262649.101,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0KA7A23TY,美的智慧家(重庆优乐装饰总部店),锦龙路西城映画2层优乐装饰,13883903369,106.508058,29.498948,106.4901177,29.49191701,437001.0628,3262663.71,60000,购物服务;购物相关场所;购物相关场所,重庆市,重庆市,九龙坡区,,3.6
B0KG9U4RLI,卓越龙珠居,九龙街道上游四社,[],106.508326,29.491909,106.4903887,29.48488072,437022.9881,3261883.919,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B00178XBQW,桐君阁大药房(动物园轻轨站店),西郊路30号附14号(动物园地铁站1号口步行80米),023-86139856;13883109175,106.508432,29.500066,106.4904926,29.49303581,437038.0993,3262787.473,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,九龙坡区,,[]
B0FFLEZPJZ,同一同济动物医院(杨家坪店),上游三村8号附1号(动物园地铁站2号口步行120米),023-68636778,106.50859,29.499389,106.4906513,29.49235946,437053.0692,3262712.446,90701,医疗保健服务;动物医疗场所;宠物诊所,重庆市,重庆市,九龙坡区,,4.4
B0KRPLLQOJ,东郊诊所,西郊路与杨渡支路交叉口西南100米,13628351288,106.508644,29.499319,106.4907055,29.49228964,437058.2805,3262704.68,90300,医疗保健服务;诊所;诊所,重庆市,重庆市,九龙坡区,,[]
