cluster_id,X,Y,Z,点数量,起降点名称
0,438003.3492358312,3263451.4290638547,246.22453287060694,33,A
1,438523.95929640235,3265153.195945412,256.22278815992604,22,B
2,443999.52817867027,3263301.7376837386,263.99529334923045,23,C
3,439333.21497187053,3260278.2677745163,259.42623991208916,13,D
4,438321.2315558693,3260295.537936321,251.23736644914754,19,E
5,438737.69777140225,3259947.143233126,249.79139059401092,12,F
6,441767.1743314135,3262456.5585712753,240.76144480204042,14,G
7,438813.31255332904,3264348.600237882,260.1635102433016,14,H
8,442388.29961038084,3262332.208412942,172.19861393423287,33,I
9,442525.7023648812,3262092.5312962024,156.0,17,J
10,440774.7627621902,3259369.23854288,207.54581186882612,10,K
11,438680.6627811646,3264018.2337769284,243.54116351904463,45,L
12,442365.15697692387,3259186.124667344,229.4187876344289,19,M
13,441610.496907876,3259298.4476752775,183.14661422565456,18,N
14,441928.8536485758,3259280.5227044737,210.67582337695396,23,O
15,440339.3436539656,3264538.2065957207,210.20668535881865,53,P
16,439678.01295246696,3264645.8710404914,242.8729176961335,14,Q
17,438955.1481094046,3264891.2734802896,268.7759011062928,10,R
18,438791.96295872383,3264514.4541652724,273.4107823647766,27,S
19,440247.17002195225,3263257.1425806857,254.1891706462012,66,T
20,440424.6734222234,3262524.258104882,280.9999665409416,16,U
21,440878.1697128037,3262466.883445247,272.64875702588347,19,V
